current_link,name,parent_link,price,upc
http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,A Light in the Attic,http://books.toscrape.com/catalogue/page-1.html,£51.77,a897fe39b1053632
http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",http://books.toscrape.com/catalogue/page-1.html,£17.93,e72a5dfc7e9267b2
http://books.toscrape.com/catalogue/the-black-maria_991/index.html,The Black Maria,http://books.toscrape.com/catalogue/page-1.html,£52.15,1dfe412b8ac00530
http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,The Dirty Little Secrets of Getting Your Dream Job,http://books.toscrape.com/catalogue/page-1.html,£33.34,2597b5a345f45e1b
http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,http://books.toscrape.com/catalogue/page-1.html,£22.60,e10e1e165dc8be4a
http://books.toscrape.com/catalogue/sharp-objects_997/index.html,Sharp Objects,http://books.toscrape.com/catalogue/page-1.html,£47.82,e00eb4fd7b871a48
http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,Sapiens: A Brief History of Humankind,http://books.toscrape.com/catalogue/page-1.html,£54.23,4165285e1663650f
http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,The Requiem Red,http://books.toscrape.com/catalogue/page-1.html,£22.65,f77dbf2323deb740
http://books.toscrape.com/catalogue/soumission_998/index.html,Soumission,http://books.toscrape.com/catalogue/page-1.html,£50.10,6957f44c3847a760
http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,Tipping the Velvet,http://books.toscrape.com/catalogue/page-1.html,£53.74,90fa61229261140a
http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,It's Only the Himalayas,http://books.toscrape.com/catalogue/page-1.html,£45.17,a22124811bfa8350
http://books.toscrape.com/catalogue/olio_984/index.html,Olio,http://books.toscrape.com/catalogue/page-1.html,£23.88,feb7cc7701ecf901
http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",http://books.toscrape.com/catalogue/page-1.html,£57.25,deda3e61b9514b83
http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,Libertarianism for Beginners,http://books.toscrape.com/catalogue/page-1.html,£51.33,a18a4f574854aced
http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Mesaerion: The Best Science Fiction Stories 1800-1849,http://books.toscrape.com/catalogue/page-1.html,£37.59,e30f54cea9b38190
http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,Rip it Up and Start Again,http://books.toscrape.com/catalogue/page-1.html,£35.02,a34ba96d4081e6a4
http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),http://books.toscrape.com/catalogue/page-1.html,£52.29,3b1c02bac2a429e6
http://books.toscrape.com/catalogue/set-me-free_988/index.html,Set Me Free,http://books.toscrape.com/catalogue/page-1.html,£17.46,ce6396b0f23f6ecc
http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Shakespeare's Sonnets,http://books.toscrape.com/catalogue/page-1.html,£20.66,30a7f60cd76ca58c
http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,"Starving Hearts (Triangular Trade Trilogy, #1)",http://books.toscrape.com/catalogue/page-1.html,£13.99,0312262ecafa5a40
http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,"In a Dark, Dark Wood",http://books.toscrape.com/catalogue/page-2.html,£19.63,19ed25f4641d5efd
http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,You can't bury them all: Poems,http://books.toscrape.com/catalogue/page-2.html,£33.63,55f9da0c5eea2e10
http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,Behind Closed Doors,http://books.toscrape.com/catalogue/page-2.html,£52.22,be5cc846f45496fb
http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,Maude (1883-1993):She Grew Up with the country,http://books.toscrape.com/catalogue/page-2.html,£18.02,094b269567e1c300
http://books.toscrape.com/catalogue/penny-maybe_965/index.html,Penny Maybe,http://books.toscrape.com/catalogue/page-2.html,£33.29,668fe56b17cfcd4f
http://books.toscrape.com/catalogue/sophies-world_966/index.html,Sophie's World,http://books.toscrape.com/catalogue/page-2.html,£15.94,6be3beb0793a53e7
http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,The Bear and the Piano,http://books.toscrape.com/catalogue/page-2.html,£36.89,9f6568e9c95f60b0
http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,The Elephant Tree,http://books.toscrape.com/catalogue/page-2.html,£23.82,5dada2b7be26bd03
http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,http://books.toscrape.com/catalogue/page-2.html,£31.05,3c039985229453bf
http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,The Four Agreements: A Practical Guide to Personal Freedom,http://books.toscrape.com/catalogue/page-2.html,£17.66,6258a1f6a6dcfe50
